app	total	age_1	age_2	age_3	age_4	age_5	age_6	gini	gain
奇奇乐捕鱼红包版	14038	254.0	5176.0	3512.0	2767.0	1748.0	566.0	0.7964255501183914	1.6279351536097713
奇妙数学冒险	44317	11.0	715.0	6181.0	20206.0	15081.0	2092.0	0.7963444483073612	1.6277100812846597
宝剑大师	49941	2084.0	21301.0	7916.0	7490.0	8579.0	2532.0	0.7963856347736417	1.6278291233907394
宝宝学日用品	12971	13.0	329.0	2228.0	5720.0	4089.0	586.0	0.7964131361715006	1.6279004754837567
宝宝生活记录	10927	0.0	540.0	3106.0	4960.0	1880.0	435.0	0.7964168042855209	1.627914082178635
实名盾管理版	12368	3.0	645.0	1671.0	3378.0	4785.0	1877.0	0.7964226544052186	1.6279275481255768
密室逃脱探索地库6	21282	75.0	6142.0	6391.0	4891.0	3094.0	680.0	0.7964248515280014	1.6279269903085154
小爱语音引擎	5720096	56610.0	1529364.0	1173704.0	1215614.0	1132569.0	601669.0	0.7960595511261022	1.6270665702082745
小语微商管家	19071	12.0	1830.0	4880.0	6617.0	4803.0	919.0	0.7964223013657028	1.6279235226231847
小金豆	24404	245.0	9219.0	5710.0	4705.0	3282.0	1224.0	0.7964187896769379	1.627921087477194
小鹿情感先生	62140	503.0	25673.0	19940.0	10591.0	4116.0	1286.0	0.7963388666161011	1.6276972696794898
平安自助开户	22689	51.0	2238.0	3799.0	5682.0	7096.0	3803.0	0.7964255865452728	1.627934942713072
录屏	99340	876.0	16558.0	20625.0	26105.0	25664.0	9398.0	0.7964244380894259	1.6279341109758374
恐龙快打	40147	63.0	2950.0	6859.0	14464.0	14975.0	826.0	0.7963845716490738	1.6278138400892017
悦借钱	22088	12.0	4875.0	6560.0	5857.0	3802.0	978.0	0.7964278777334404	1.6279354777370505
我的世界联机平台	11872	40.0	892.0	916.0	3363.0	5525.0	1127.0	0.796415808867491	1.627917665330964
拍拍贷借款(贷款·借钱·借贷)	24612	6.0	4163.0	8304.0	6729.0	4522.0	887.0	0.7964213747675885	1.6279177561527598
撕歌skr	24583	1503.0	16134.0	3471.0	1556.0	1337.0	563.0	0.7963257230409821	1.6277161136712037
支付插件	12144	82.0	4015.0	3238.0	2652.0	1641.0	511.0	0.7964292034320702	1.6279441442334703
新概念英语全4册	29489	63.0	5959.0	5397.0	5964.0	9396.0	2674.0	0.796430443589689	1.6279492048835096
极品芝麻官	185554	1126.0	52631.0	53603.0	41448.0	29568.0	7083.0	0.7963594710806364	1.6277124612323646
梦恋	12129	157.0	3525.0	3258.0	2946.0	1810.0	430.0	0.7964308137183478	1.6279464225457148
楚楚街	238041	2185.0	106859.0	57350.0	39548.0	24104.0	7910.0	0.7961043278841659	1.6271725369259489
火萤引擎	21513	48.0	10339.0	6304.0	3053.0	1378.0	384.0	0.7963913547833261	1.6278501298457582
点我达商家	34536	29.0	3434.0	8327.0	11763.0	8982.0	1986.0	0.7964141412106703	1.6279008398694106
爱玩消星星	18994	213.0	3527.0	3302.0	3710.0	4524.0	3644.0	0.7964334524830989	1.6279560479254995
爱音乐	87078	729.0	21685.0	17128.0	18203.0	19457.0	9788.0	0.7964341875381455	1.6279593247360609
狼人宝岛	11306	64.0	2815.0	2425.0	2305.0	2351.0	1330.0	0.7964354846859463	1.627962465919668
玩图	294057	1638.0	111889.0	67986.0	50046.0	44641.0	17611.0	0.7962386777469683	1.627498477935702
瑞银信	324572	114.0	37200.0	77469.0	96872.0	85597.0	27181.0	0.7963126072860855	1.627596771211756
画吧	72611	1308.0	36184.0	13600.0	7716.0	9943.0	3803.0	0.7963064362604727	1.6276946064710052
皇冠现金网	13073	56.0	2693.0	3118.0	3538.0	2932.0	728.0	0.796433803937081	1.627955566701746
秦丝生意通进销存	12278	8.0	994.0	2204.0	3923.0	4090.0	1052.0	0.7964268160838844	1.6279392354235027
系统wifi服务	28101	66.0	6309.0	6099.0	6418.0	6130.0	3040.0	0.7964354455753597	1.6279604582715577
维词	24832	1376.0	4694.0	590.0	503.0	10509.0	7114.0	0.796376362772819	1.6277604475391052
美事	62076	100.0	11873.0	17734.0	14625.0	11831.0	5862.0	0.7964243118964712	1.6279303151132294
美妆教程	12021	159.0	4882.0	3201.0	2371.0	1194.0	209.0	0.7964219804191132	1.6279237956730415
花生日记商户版	10454	9.0	793.0	1914.0	3464.0	3454.0	810.0	0.7964274432087444	1.6279407835963744
苏宁快递	27629	60.0	4640.0	7111.0	8048.0	6313.0	1452.0	0.7964280698478859	1.6279371171850014
苏打优选	27492	38.0	2374.0	4945.0	6728.0	9156.0	4214.0	0.7964210134315132	1.6279226657686652
英语口语8000句	12374	18.0	1875.0	2538.0	3019.0	3379.0	1528.0	0.7964341979543371	1.627958451147515
装扮小公主	30930	13.0	528.0	3367.0	13497.0	11898.0	1613.0	0.7963685097765263	1.6277791754460476
视界家	28537	796.0	12818.0	5584.0	4578.0	3519.0	1212.0	0.7963997475744008	1.6278774645540242
趣-otc	29531	129.0	7420.0	6132.0	7131.0	5871.0	2799.0	0.7964342380066389	1.6279580872686776
趣拍生活	11617	69.0	2836.0	1856.0	1899.0	2468.0	2462.0	0.7964331541835071	1.6279552979601581
趣键盘	879265	7662.0	266376.0	247143.0	198751.0	124178.0	34798.0	0.796008242005261	1.6266411935212346
车智汇	387247	174.0	20171.0	51913.0	91098.0	141158.0	82446.0	0.7960339752755812	1.626788345103275
车缴	24846	6.0	674.0	3586.0	8199.0	9082.0	3286.0	0.7964050622836694	1.627872349852122
辛选帮	14651	26.0	1411.0	3161.0	5416.0	3986.0	642.0	0.7964240865153404	1.6279305334489227
违章查询-汽车之家	138015	41.0	8570.0	26919.0	38599.0	43219.0	20574.0	0.7963480580888344	1.627695536243168
速看	25574	70.0	8018.0	6635.0	5481.0	4103.0	1250.0	0.7964259998196623	1.6279329509734892
酷狗识曲	22551	172.0	3163.0	3307.0	5424.0	6648.0	3800.0	0.796429488728279	1.627947016806777
铃声裁剪大师	18557	30.0	3943.0	5071.0	4874.0	3589.0	1038.0	0.7964316387390032	1.627948330929008
银河999	15667	304.0	4650.0	4310.0	3647.0	2263.0	483.0	0.796428495465349	1.6279375752966674
闪银-贷款借钱	14875	6.0	4516.0	4759.0	3240.0	2003.0	347.0	0.7964255744669224	1.627928694247259
雅管家	23345	29.0	1749.0	3158.0	5397.0	8382.0	4581.0	0.7964163875512619	1.6279099141140407
